,Country name,Regional indicator,Score Y20,GDP Y20,Social support Y20,Life expectancy Y20,Freedom Y20,Generosity Y20,Corruption Y20,Score Y19,GDP Y19,Social support Y19,Life expectancy Y19,Freedom Y19,Generosity Y19,Corruption Y19,Score Y18,GDP Y18,Social support Y18,Life expectancy Y18,Freedom Y18,Generosity Y18,Corruption Y18,Score Y17,GDP Y17,Life Expectancy Y17,Freedom Y17,Generosity Y17,Corruption Y17,Score Y16,GDP Y16,Life Expectancy Y16,Freedom Y16,Corruption Y16,Generosity Y16,Score Y15,GDP Y15,Life Expectancy Y15,Freedom Y15,Corruption Y15,Generosity Y15
0,Finland,Western Europe,7.808700085,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019000000004,0.19544458399999998,7.769,1.34,1.587,0.986,0.596,0.153,0.39299999999999996,7.632000000000001,1.305,1.5919999999999999,0.8740000000000001,0.6809999999999999,0.20199999999999999,0.39299999999999996,7.468999862670901,1.44357192516327,0.80915766954422,0.6179508566856379,0.24548277258873,0.38261154294014,7.412999999999999,1.40598,0.81091,0.57104,0.41003999999999996,0.25492,7.412999999999999,1.40598,0.81091,0.57104,0.41003999999999996,0.25492
1,Denmark,Western Europe,7.645599842,10.77400112,0.955990791,72.40250397,0.9514442679999999,0.06620177599999999,0.168489456,7.6,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41,7.555,1.351,1.59,0.868,0.6829999999999999,0.284,0.408,7.52199983596802,1.48238301277161,0.7925655245780941,0.626006722450256,0.3552804887294771,0.40077006816863997,7.526,1.4417799999999998,0.79504,0.5794100000000001,0.44453000000000004,0.36171,7.526,1.4417799999999998,0.79504,0.5794100000000001,0.44453000000000004,0.36171
2,Switzerland,Western Europe,7.559899807000001,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,7.48,1.452,1.526,1.052,0.5720000000000001,0.263,0.34299999999999997,7.487,1.42,1.5490000000000002,0.927,0.66,0.256,0.35700000000000004,7.49399995803833,1.5649795532226598,0.858131289482117,0.620070576667786,0.29054927825927696,0.36700728535652205,7.5089999999999995,1.5273299999999999,0.86303,0.58557,0.41203,0.28083,7.5089999999999995,1.5273299999999999,0.86303,0.58557,0.41203,0.28083
3,Iceland,Western Europe,7.504499912000001,10.77255917,0.9746695759999999,73.0,0.948891878,0.246944219,0.7117097379999999,7.494,1.38,1.624,1.026,0.591,0.354,0.11800000000000001,7.495,1.3430000000000002,1.6440000000000001,0.914,0.677,0.353,0.138,7.50400018692017,1.480633020401,0.8335521221160892,0.6271626353263849,0.47554022073745705,0.15352655947208402,7.501,1.42666,0.8673299999999999,0.56624,0.14975,0.47678000000000004,7.501,1.42666,0.8673299999999999,0.56624,0.14975,0.47678000000000004
4,Norway,Western Europe,7.487999916000001,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.26321819399999996,7.553999999999999,1.4880000000000002,1.5819999999999999,1.028,0.603,0.271,0.341,7.593999999999999,1.456,1.5819999999999999,0.861,0.6859999999999999,0.28600000000000003,0.34,7.537000179290769,1.6164631843566901,0.796666502952576,0.635422587394714,0.36201223731041,0.31596383452415505,7.497999999999999,1.57744,0.79579,0.59609,0.35775999999999997,0.37895,7.497999999999999,1.57744,0.79579,0.59609,0.35775999999999997,0.37895
5,Netherlands,Western Europe,7.448900223,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,7.4879999999999995,1.396,1.5219999999999998,0.9990000000000001,0.557,0.322,0.298,7.441,1.361,1.4880000000000002,0.878,0.638,0.33299999999999996,0.295,7.3769998550415,1.50394463539124,0.8106961250305179,0.5853844881057739,0.47048982977867104,0.282661825418472,7.3389999999999995,1.46468,0.8123100000000001,0.55211,0.29927,0.47416,7.3389999999999995,1.46468,0.8123100000000001,0.55211,0.29927,0.47416
6,Sweden,Western Europe,7.353499889,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,7.343,1.3869999999999998,1.4869999999999999,1.0090000000000001,0.574,0.267,0.373,7.314,1.355,1.501,0.9129999999999999,0.659,0.285,0.38299999999999995,7.28399991989136,1.49438726902008,0.830875158309937,0.612924098968506,0.38539925217628496,0.384398728609085,7.291,1.45181,0.83121,0.58218,0.40867,0.38254,7.291,1.45181,0.83121,0.58218,0.40867,0.38254
7,New Zealand,North America and ANZ,7.2996001239999995,10.50094318,0.9491189720000001,73.20262909,0.9362174870000001,0.191598073,0.22113885,7.307,1.3030000000000002,1.557,1.026,0.585,0.33,0.38,7.324,1.268,1.601,0.8759999999999999,0.669,0.365,0.389,7.31400012969971,1.40570604801178,0.816759705543518,0.6140621304512021,0.500005125999451,0.38281670212745705,7.334,1.36066,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006,7.334,1.36066,0.83096,0.5814699999999999,0.41903999999999997,0.49401000000000006
8,Austria,Western Europe,7.294199944,10.7428236,0.9280458690000001,73.00250244,0.899989486,0.085429221,0.49995487899999996,7.246,1.376,1.475,1.016,0.532,0.244,0.226,7.138999999999999,1.341,1.504,0.8909999999999999,0.617,0.242,0.22399999999999998,7.00600004196167,1.4870972633361799,0.8153284192085269,0.567766189575195,0.316472321748734,0.22106036543846105,7.119,1.45038,0.80565,0.54355,0.21348000000000003,0.32865,7.119,1.45038,0.80565,0.54355,0.21348000000000003,0.32865
9,Luxembourg,Western Europe,7.2375001910000005,11.45068073,0.9069122079999999,72.59999847,0.90563643,-0.004620588,0.367084295,7.09,1.609,1.479,1.012,0.526,0.19399999999999998,0.316,6.91,1.5759999999999998,1.52,0.8959999999999999,0.632,0.196,0.321,6.86299991607666,1.74194359779358,0.845089495182037,0.59662789106369,0.283180981874466,0.31883442401886,6.871,1.6975200000000001,0.8454200000000001,0.5487,0.35329,0.27571,6.871,1.6975200000000001,0.8454200000000001,0.5487,0.35329,0.27571
